(0, 58, 27)
(1/4, 60, 28)
(1/2, 58, 27)
(3/4, 55, 25)
(4, 63, 30)
(9, 67, 32)
(10, 58, 27)
(41/4, 60, 28)
(21/2, 58, 27)
(43/4, 55, 25)
(12, 63, 30)
(19, 63, 30)
(77/4, 65, 31)
(39/2, 63, 30)
(79/4, 58, 27)
(20, 67, 32)
(83/4, 65, 31)
(21, 65, 31)
(23, 65, 31)
(93/4, 67, 32)
(47/2, 65, 31)
(95/4, 62, 29)
(24, 70, 34)
(51/2, 69, 33)
(103/4, 69, 33)
(27, 69, 33)
(109/4, 70, 34)
(55/2, 69, 33)
(111/4, 65, 31)
(28, 75, 37)
(115/4, 74, 36)
(117/4, 74, 36)
(119/4, 79, 39)
(30, 79, 39)
(123/4, 77, 38)
(31, 77, 38)
(127/4, 84, 42)
(32, 82, 41)
(129/4, 82, 41)
(135/4, 79, 39)
(137/4, 75, 37)
(139/4, 72, 35)
(36, 70, 34)
(73/2, 67, 32)
(37, 58, 27)
(75/2, 63, 30)
(38, 62, 29)
(77/2, 63, 30)
(40, 70, 34)
(42, 58, 27)
(169/4, 60, 28)
(85/2, 55, 25)
(44, 61, 29)
(48, 60, 28)
(193/4, 58, 27)
(97/2, 55, 25)
(52, 61, 29)
(57, 64, 30)
(229/4, 65, 31)
(115/2, 64, 30)
(231/4, 60, 28)
(60, 70, 34)
(243/4, 68, 33)
(245/4, 68, 33)
(253/4, 65, 31)
(127/2, 67, 32)
(255/4, 62, 29)
(64, 60, 28)
(64, 70, 34)
(257/4, 70, 34)
(265/4, 67, 32)
(133/2, 68, 33)
(267/4, 67, 32)
(68, 73, 36)
(275/4, 75, 37)
(553/8, 73, 36)
(555/8, 73, 36)
(561/8, 77, 38)
(72, 77, 38)
(291/4, 75, 37)
(73, 75, 37)
(75, 70, 34)
(76, 70, 34)
(153/2, 68, 33)
(80, 75, 37)
(84, 70, 34)
(169/2, 68, 33)
(85, 64, 30)
(86, 65, 31)
(87, 65, 31)
(88, 75, 37)
(181/2, 73, 36)
(91, 72, 35)
(183/2, 70, 34)
(92, 72, 35)
(187/2, 72, 35)
(94, 74, 36)
(189/2, 75, 37)
(95, 77, 38)
(96, 77, 38)
(193/2, 75, 37)
(97, 74, 36)
(195/2, 72, 35)
(197/2, 75, 37)
(199/2, 72, 35)
(100, 70, 34)
(203/2, 70, 34)
(102, 72, 35)
(207/2, 70, 34)
(104, 70, 34)
(211/2, 70, 34)
(107, 72, 35)
(108, 70, 34)
(217/2, 67, 32)
(109, 62, 29)
(219/2, 63, 30)
(110, 68, 33)
(221/2, 60, 28)
(111, 62, 29)
(112, 63, 30)
(225/2, 63, 30)
(113, 67, 32)
(227/2, 70, 34)
(114, 75, 37)
(229/2, 72, 35)
(115, 69, 33)
(231/2, 70, 34)
(118, 70, 34)
(237/2, 69, 33)
(119, 70, 34)
(120, 70, 34)
(243/2, 70, 34)
(122, 75, 37)
(245/2, 69, 33)
(123, 70, 34)
(124, 70, 34)
(249/2, 67, 32)
(125, 62, 29)
(251/2, 63, 30)
(126, 68, 33)
(253/2, 65, 31)
(127, 60, 28)
(255/2, 62, 29)
(130, 65, 31)
(521/4, 67, 32)
(261/2, 65, 31)
(523/4, 62, 29)
(132, 70, 34)
(133, 70, 34)
(533/4, 72, 35)
(267/2, 70, 34)
(535/4, 67, 32)
(134, 70, 34)
(135, 77, 38)
(541/4, 79, 39)
(271/2, 77, 38)
(543/4, 70, 34)
(136, 79, 39)
(138, 77, 38)
(553/4, 79, 39)
(277/2, 77, 38)
(555/4, 74, 36)
(140, 82, 41)
(141, 82, 41)
(565/4, 84, 42)
(283/2, 79, 39)
(567/4, 82, 41)
(571/4, 77, 38)
(143, 79, 39)
(573/4, 77, 38)
(287/2, 70, 34)
(144, 79, 39)
(145, 82, 41)
(581/4, 84, 42)
(291/2, 79, 39)
(583/4, 87, 44)
(149, 79, 39)
(597/4, 81, 40)
(299/2, 79, 39)
(599/4, 76, 37)
(150, 88, 44)
(152, 60, 28)
(154, 60, 28)
(313/2, 64, 30)
(157, 69, 33)
(315/2, 72, 35)
(158, 76, 37)
(317/2, 78, 39)
(159, 81, 40)
(319/2, 88, 44)
(160, 86, 43)
(641/4, 88, 44)
(321/2, 86, 43)
(643/4, 82, 41)
(161, 84, 42)
(645/4, 82, 41)
(323/2, 77, 38)
(647/4, 77, 38)
(162, 79, 39)
