(0, 55, 25)
(1/4, 58, 27)
(5/4, 63, 30)
(3/2, 67, 32)
(4, 67, 32)
(17/4, 65, 31)
(9/2, 63, 30)
(19/4, 58, 27)
(5, 63, 30)
(21/4, 67, 32)
(11/2, 70, 34)
(23/4, 70, 34)
(6, 67, 32)
(25/4, 62, 29)
(13/2, 65, 31)
(27/4, 70, 34)
(7, 74, 36)
(8, 74, 36)
(33/4, 72, 35)
(17/2, 70, 34)
(35/4, 69, 33)
(9, 65, 31)
(37/4, 70, 34)
(19/2, 74, 36)
(39/4, 77, 38)
(10, 77, 38)
(41/4, 74, 36)
(21/2, 70, 34)
(43/4, 68, 33)
(11, 67, 32)
(45/4, 70, 34)
(23/2, 75, 37)
(47/4, 79, 39)
(12, 70, 34)
(12, 79, 39)
(49/4, 77, 38)
(25/2, 75, 37)
(51/4, 74, 36)
(13, 70, 34)
(53/4, 75, 37)
(27/2, 79, 39)
(55/4, 82, 41)
(14, 82, 41)
(57/4, 80, 40)
(29/2, 79, 39)
(59/4, 77, 38)
(15, 74, 36)
(61/4, 77, 38)
(31/2, 82, 41)
(63/4, 86, 43)
(16, 86, 43)
(65/4, 84, 42)
(33/2, 82, 41)
(67/4, 81, 40)
(17, 77, 38)
(69/4, 82, 41)
(139/8, 70, 34)
(139/8, 86, 43)
(141/8, 88, 45)
(143/8, 82, 41)
(145/8, 80, 40)
(147/8, 63, 30)
(147/8, 77, 38)
(149/8, 74, 36)
(151/8, 70, 34)
(153/8, 68, 33)
(20, 67, 32)
(41/2, 63, 30)
(21, 63, 30)
(43/2, 63, 30)
(22, 75, 37)
(47/2, 72, 35)
(24, 70, 34)
(49/2, 69, 33)
(25, 70, 34)
(51/2, 69, 33)
(26, 70, 34)
(53/2, 72, 35)
(27, 68, 33)
(55/2, 70, 34)
(28, 67, 32)
(57/2, 63, 30)
(29, 63, 30)
(59/2, 63, 30)
(30, 75, 37)
(63/2, 72, 35)
(32, 72, 35)
(32, 70, 34)
(65/2, 69, 33)
(33, 70, 34)
(67/2, 69, 33)
(34, 70, 34)
(69/2, 72, 35)
(35, 68, 33)
(71/2, 70, 34)
(36, 67, 32)
(73/2, 67, 32)
(37, 67, 32)
(75/2, 67, 32)
(38, 79, 39)
(79/2, 75, 37)
(40, 74, 36)
(41, 67, 32)
(124/3, 67, 32)
(125/3, 67, 32)
(42, 79, 39)
(87/2, 75, 37)
(44, 74, 36)
(89/2, 67, 32)
(45, 67, 32)
(91/2, 67, 32)
(46, 79, 39)
(95/2, 75, 37)
(48, 79, 39)
(99/2, 75, 37)
(50, 79, 39)
(103/2, 75, 37)
(52, 74, 36)
(105/2, 74, 36)
(53, 75, 37)
(107/2, 74, 36)
(54, 75, 37)
(109/2, 74, 36)
(55, 75, 37)
(56, 74, 36)
(113/2, 72, 35)
(227/4, 72, 34)
(57, 67, 32)
(343/6, 65, 31)
(172/3, 63, 30)
(115/2, 62, 29)
(173/3, 60, 28)
(176/3, 56, 26)
(176/3, 60, 28)
(353/6, 56, 26)
(353/6, 67, 32)
(59, 55, 25)
(237/4, 60, 28)
(119/2, 63, 30)
(239/4, 67, 32)
(60, 67, 32)
(241/4, 65, 31)
(121/2, 63, 30)
(243/4, 62, 29)
(61, 58, 27)
(245/4, 63, 30)
(123/2, 67, 32)
(247/4, 70, 34)
(62, 70, 34)
(249/4, 68, 33)
(125/2, 67, 32)
(251/4, 65, 31)
(63, 62, 29)
(253/4, 65, 31)
(127/2, 70, 34)
(127/2, 77, 38)
(255/4, 74, 36)
(64, 74, 36)
(257/4, 72, 35)
(129/2, 70, 34)
(259/4, 69, 33)
(65, 65, 31)
(261/4, 70, 34)
(523/8, 74, 36)
(525/8, 77, 38)
(527/8, 77, 38)
(529/8, 74, 36)
(531/8, 70, 34)
(533/8, 68, 33)
(535/8, 67, 32)
(68, 79, 39)
(273/4, 77, 38)
(137/2, 75, 37)
(275/4, 74, 36)
(69, 70, 34)
(69, 75, 37)
(277/4, 68, 33)
(277/4, 79, 39)
(139/2, 70, 34)
(139/2, 85, 41)
(283/4, 74, 36)
(71, 77, 38)
(71, 85, 41)
(285/4, 86, 43)
(72, 86, 43)
(289/4, 84, 42)
(145/2, 85, 41)
(291/4, 81, 40)
(73, 77, 38)
(293/4, 85, 41)
(147/2, 86, 43)
(295/4, 89, 45)
(74, 89, 45)
(297/4, 86, 43)
(149/2, 85, 41)
(299/4, 80, 40)
(75, 67, 32)
(75, 77, 38)
(301/4, 74, 36)
(151/2, 70, 34)
(76, 67, 32)
(78, 86, 43)
(157/2, 74, 36)
(315/4, 70, 34)
(631/8, 68, 33)
(80, 67, 32)
(82, 89, 45)
(167/2, 80, 40)
(335/4, 77, 38)
(84, 79, 39)
(337/4, 75, 37)
(169/2, 72, 35)
(339/4, 69, 33)
(85, 66, 32)
(511/6, 63, 30)
(256/3, 60, 28)
(173/2, 56, 26)
(347/4, 58, 27)
(87, 62, 29)
(87, 70, 34)
(88, 82, 41)
(353/4, 79, 39)
(177/2, 66, 31)
(177/2, 75, 37)
(355/4, 67, 32)
(355/4, 70, 34)
(89, 63, 30)
(357/4, 58, 27)
(179/2, 55, 25)
(359/4, 56, 26)
(92, 78, 39)
(369/4, 75, 37)
(185/2, 72, 35)
(371/4, 69, 33)
(93, 66, 32)
(373/4, 63, 30)
(187/2, 60, 28)
(375/4, 57, 26)
(94, 58, 27)
(95, 70, 34)
(95, 82, 41)
(96, 75, 37)
(98, 75, 37)
(197/2, 87, 44)
(199/2, 84, 42)
(100, 82, 41)
(201/2, 77, 38)
(101, 74, 36)
(104, 67, 32)
(209/2, 84, 42)
(108, 82, 41)
(217/2, 80, 40)
(112, 67, 32)
(225/2, 67, 32)
(113, 67, 32)
(227/2, 67, 32)
(114, 79, 39)
(231/2, 75, 37)
(116, 74, 36)
(233/2, 69, 33)
(117, 63, 30)
(118, 62, 29)
(239/2, 62, 29)
(120, 67, 32)
(481/4, 69, 33)
(241/2, 70, 34)
(241/2, 72, 35)
(483/4, 74, 36)
(483/4, 74, 36)
(121, 77, 38)
(121, 79, 39)
(121, 72, 35)
(485/4, 67, 32)
(124, 68, 33)
(124, 70, 34)
(497/4, 72, 35)
(249/2, 74, 36)
(501/4, 84, 42)
(503/4, 72, 35)
(128, 70, 34)
(513/4, 72, 35)
(257/2, 74, 36)
(515/4, 75, 37)
(129, 80, 40)
(129, 75, 37)
(517/4, 82, 41)
(259/2, 77, 38)
(519/4, 82, 41)
(130, 84, 42)
(1041/8, 87, 44)
(1043/8, 89, 45)
(132, 91, 46)
(529/4, 89, 44)
(265/2, 84, 42)
(531/4, 77, 38)
(133, 70, 34)
(533/4, 67, 32)
(136, 63, 30)
(545/4, 62, 29)
(273/2, 63, 30)
(547/4, 67, 32)
(137, 68, 33)
(549/4, 67, 32)
(275/2, 70, 34)
(551/4, 77, 38)
(138, 75, 37)
(140, 79, 39)
(561/4, 77, 38)
(281/2, 82, 41)
(563/4, 84, 42)
(141, 91, 46)
(285/2, 82, 41)
(144, 80, 40)
(289/2, 65, 31)
(145, 65, 31)
(291/2, 65, 31)
(146, 79, 39)
(295/2, 75, 37)
(148, 72, 35)
(297/2, 69, 33)
(149, 67, 32)
(299/2, 63, 30)
(150, 60, 28)
(301/2, 57, 26)
(303/2, 57, 26)
(152, 65, 31)
(305/2, 65, 31)
(153, 78, 39)
(309/2, 75, 37)
(311/2, 68, 33)
(156, 67, 32)
(313/2, 63, 30)
(157, 60, 28)
(315/2, 57, 26)
(158, 58, 27)
(317/2, 60, 28)
(319/2, 57, 26)
(160, 65, 31)
(321/2, 65, 31)
(161, 65, 31)
(323/2, 79, 39)
(163, 75, 37)
(327/2, 72, 35)
(329/2, 68, 33)
(331/2, 61, 29)
(335/2, 58, 27)
(339/2, 66, 32)
(343/2, 60, 28)
(345/2, 58, 27)
(347/2, 60, 28)
(347/2, 65, 31)
(174, 60, 28)
(174, 69, 33)
(351/2, 58, 27)
(351/2, 70, 34)
(176, 79, 39)
(177, 75, 37)
(359/2, 72, 35)
(1079/6, 68, 33)
(1081/6, 67, 32)
(361/2, 60, 28)
(181, 56, 26)
(363/2, 58, 27)
(182, 60, 28)
(367/2, 62, 29)
(184, 65, 31)
(369/2, 65, 31)
(185, 65, 31)
(371/2, 80, 40)
(187, 77, 38)
(375/2, 74, 36)
(188, 70, 34)
(377/2, 68, 33)
(189, 65, 31)
(379/2, 62, 29)
(190, 62, 29)
(383/2, 77, 38)
(192, 70, 34)
(385/2, 68, 33)
(391/2, 77, 38)
(196, 74, 36)
(393/2, 74, 36)
(399/2, 74, 36)
(200, 72, 35)
(401/2, 69, 33)
(201, 67, 32)
(407/2, 65, 31)
(204, 74, 36)
(819/4, 72, 35)
(821/4, 67, 32)
(823/4, 69, 33)
(825/4, 65, 31)
(415/2, 77, 38)
(415/2, 77, 38)
(211, 75, 37)
(423/2, 75, 37)
(212, 74, 36)
(851/4, 67, 32)
(853/4, 72, 35)
(855/4, 68, 33)
(431/2, 70, 34)
(437/2, 70, 34)
(439/2, 70, 34)
(221, 70, 34)
(443/2, 72, 35)
(223, 72, 35)
(447/2, 74, 36)
(451/2, 70, 34)
(455/2, 70, 34)
(457/2, 70, 34)
(459/2, 79, 39)
(231, 79, 39)
(463/2, 68, 33)
(467/2, 68, 33)
(471/2, 68, 33)
(473/2, 68, 33)
(475/2, 70, 34)
(953/4, 70, 34)
(479/2, 73, 36)
(481/2, 72, 35)
(485/2, 68, 33)
(487/2, 68, 33)
(489/2, 77, 38)
(246, 77, 38)
(495/2, 77, 38)
(499/2, 75, 37)
(501/2, 73, 36)
(503/2, 72, 35)
(507/2, 73, 36)
(511/2, 77, 38)
(515/2, 75, 37)
(517/2, 73, 36)
(519/2, 72, 35)
(523/2, 73, 36)
(527/2, 77, 38)
(531/2, 75, 37)
(533/2, 73, 36)
(535/2, 72, 35)
(537/2, 72, 35)
(539/2, 73, 36)
(541/2, 70, 34)
(543/2, 70, 34)
(547/2, 69, 33)
(551/2, 70, 34)
(276, 65, 31)
(553/2, 65, 31)
(277, 65, 31)
(555/2, 65, 31)
(278, 70, 34)
(557/2, 73, 36)
(279, 77, 38)
(559/2, 77, 38)
(563/2, 75, 37)
(565/2, 73, 36)
(567/2, 72, 35)
(571/2, 73, 36)
