(0, 60, 28)
(2, 62, 29)
(5/2, 67, 32)
(5/2, 74, 36)
(3, 65, 31)
(4, 64, 30)
(5, 62, 29)
(23/4, 60, 28)
(6, 60, 28)
(7, 65, 31)
(8, 65, 31)
(9, 74, 36)
(21/2, 72, 35)
(11, 70, 34)
(23/2, 69, 33)
(12, 67, 32)
(25/2, 74, 35)
(53/4, 70, 34)
(15, 69, 33)
(31/2, 72, 35)
(16, 72, 35)
(35/2, 70, 34)
(18, 70, 34)
(37/2, 69, 33)
(19, 67, 32)
(39/2, 65, 31)
(20, 64, 30)
(41/2, 62, 29)
(83/4, 67, 32)
(21, 65, 31)
(22, 64, 30)
(23, 64, 30)
(47/2, 65, 31)
(24, 67, 32)
(51/2, 67, 32)
(26, 69, 33)
(53/2, 74, 36)
(27, 72, 35)
(28, 70, 34)
(29, 67, 32)
(59/2, 69, 33)
(30, 70, 34)
(63/2, 70, 34)
(32, 72, 35)
(65/2, 77, 38)
(33, 74, 36)
(36, 76, 37)
(37, 74, 36)
(38, 72, 35)
(77/2, 70, 34)
(39, 69, 33)
(40, 67, 32)
(41, 72, 35)
(124/3, 69, 33)
(125/3, 65, 31)
(42, 76, 37)
(127/3, 74, 36)
(128/3, 62, 29)
(43, 65, 31)
(44, 64, 30)
(179/4, 72, 35)
(179/4, 81, 40)
(45, 72, 35)
(93/2, 70, 34)
(47, 69, 33)
(95/2, 72, 35)
(48, 72, 35)
(99/2, 70, 34)
(50, 69, 33)
(51, 62, 29)
(52, 60, 28)
(53, 67, 32)
(215/4, 69, 33)
(215/4, 77, 38)
(54, 65, 31)
(69, 81, 40)
(70, 82, 41)
(143/2, 81, 40)
(72, 81, 40)
(145/2, 79, 39)
(147/2, 76, 37)
(295/4, 77, 38)
(74, 79, 39)
(149/2, 81, 40)
(299/4, 79, 39)
(75, 79, 39)
(151/2, 76, 37)
(76, 74, 36)
(153/2, 72, 35)
(77, 71, 34)
(155/2, 69, 33)
(78, 78, 38)
(79, 71, 34)
(321/4, 71, 34)
(161/2, 72, 35)
(323/4, 71, 34)
(81, 76, 37)
(82, 69, 33)
(333/4, 69, 33)
(167/2, 71, 34)
(335/4, 69, 33)
(84, 74, 36)
(171/2, 72, 35)
(343/4, 70, 34)
(86, 69, 33)
(345/4, 70, 34)
(173/2, 72, 35)
(87, 72, 35)
(175/2, 75, 37)
(88, 74, 36)
(177/2, 72, 35)
(89, 71, 34)
(179/2, 74, 36)
(90, 77, 38)
(93, 74, 36)
(93, 77, 38)
(187/2, 74, 36)
(187/2, 77, 38)
(94, 81, 40)
(379/4, 77, 38)
(381/4, 76, 37)
(193/2, 72, 35)
(387/4, 77, 38)
(97, 76, 37)
(389/4, 74, 36)
(199/2, 74, 36)
(201/2, 74, 36)
(403/4, 76, 37)
(102, 81, 40)
(103, 82, 41)
(209/2, 81, 40)
(105, 81, 40)
(423/4, 79, 39)
(427/4, 81, 40)
(857/8, 84, 42)
(861/8, 86, 43)
(108, 84, 42)
(437/4, 79, 39)
(219/2, 81, 40)
(439/4, 82, 41)
(441/4, 84, 42)
(111, 80, 40)
(449/4, 74, 36)
(225/2, 74, 36)
(114, 71, 34)
(229/2, 74, 36)
(231/2, 72, 35)
(118, 70, 34)
(119, 65, 31)
(120, 67, 32)
(122, 65, 31)
(122, 69, 33)
(123, 74, 36)
(124, 64, 30)
(126, 74, 36)
(127, 70, 34)
(509/4, 77, 38)
(129, 72, 35)
(129, 76, 37)
(259/2, 74, 36)
(130, 81, 40)
(263/2, 72, 35)
(132, 71, 34)
(531/4, 57, 26)
(531/4, 60, 28)
(531/4, 64, 30)
(533/4, 82, 41)
(135, 64, 30)
(549/4, 84, 42)
(139, 76, 37)
