(0, 77, 38)
(2, 72, 35)
(4, 69, 33)
(5, 74, 36)
(23/4, 71, 34)
(6, 71, 34)
(13/2, 64, 30)
(8, 74, 36)
(10, 74, 36)
(12, 64, 30)
(25/2, 57, 26)
(14, 71, 34)
(59/4, 67, 32)
(59/4, 77, 38)
(119/8, 66, 31)
(123/8, 66, 31)
(16, 71, 34)
(67/4, 67, 32)
(67/4, 69, 33)
(135/8, 64, 30)
(135/8, 67, 32)
(18, 64, 30)
(20, 64, 30)
(21, 65, 31)
(64/3, 67, 32)
(65/3, 71, 34)
(22, 83, 41)
(45/2, 71, 34)
(45/2, 71, 34)
(23, 77, 38)
(47/2, 77, 38)
(24, 83, 41)
(99/4, 81, 40)
(199/8, 79, 39)
(25, 77, 38)
(26, 83, 41)
(27, 84, 42)
(111/4, 80, 40)
(28, 79, 39)
(57/2, 81, 40)
(29, 77, 38)
(30, 77, 38)
(61/2, 74, 36)
(34, 76, 37)
(36, 72, 35)
(73/2, 74, 36)
(40, 69, 33)
(81/2, 71, 34)
(41, 64, 30)
(42, 77, 38)
(171/4, 65, 31)
(44, 72, 35)
(89/2, 74, 36)
(46, 74, 36)
(187/4, 72, 35)
(48, 64, 30)
(97/2, 57, 26)
(68, 88, 44)
(137/2, 85, 42)
(69, 81, 40)
(139/2, 83, 41)
(281/4, 76, 37)
(283/4, 78, 38)
(285/4, 74, 36)
(72, 71, 34)
(145/2, 76, 37)
(73, 69, 33)
(147/2, 71, 34)
(74, 73, 35)
(149/2, 73, 35)
(151/2, 74, 36)
(303/4, 74, 36)
(76, 66, 31)
(78, 80, 39)
(157/2, 81, 40)
(315/4, 81, 40)
(79, 81, 40)
(317/4, 81, 40)
(80, 83, 41)
(82, 80, 39)
(165/2, 81, 40)
(83, 80, 39)
(167/2, 78, 38)
(84, 76, 37)
(169/2, 78, 38)
(86, 64, 30)
(88, 83, 41)
(357/4, 76, 37)
(359/4, 81, 40)
(90, 76, 37)
(181/2, 83, 41)
(363/4, 83, 41)
(91, 83, 41)
(365/4, 83, 41)
(92, 83, 41)
(369/4, 83, 41)
(185/2, 83, 41)
(371/4, 83, 41)
(93, 83, 41)
(373/4, 83, 41)
(187/2, 83, 41)
(375/4, 83, 41)
(94, 83, 41)
(377/4, 83, 41)
(189/2, 83, 41)
(379/4, 83, 41)
(95, 83, 41)
(381/4, 83, 41)
(191/2, 83, 41)
(383/4, 83, 41)
(96, 83, 41)
(385/4, 83, 41)
(193/2, 83, 41)
(387/4, 83, 41)
(97, 83, 41)
(389/4, 83, 41)
(195/2, 83, 41)
(98, 83, 41)
(393/4, 83, 41)
(197/2, 83, 41)
(395/4, 83, 41)
(99, 88, 44)
(108, 78, 38)
(217/2, 74, 36)
(109, 71, 34)
(219/2, 73, 35)
(110, 71, 34)
(221/2, 66, 31)
(111, 62, 29)
(445/4, 64, 30)
(112, 66, 31)
(225/2, 62, 29)
(113, 59, 27)
(453/4, 61, 28)
(114, 62, 29)
(229/2, 71, 34)
(115, 74, 36)
(231/2, 78, 38)
(116, 84, 42)
(465/4, 84, 42)
(233/2, 84, 42)
(467/4, 84, 42)
(117, 84, 42)
(469/4, 84, 42)
(235/2, 84, 42)
(471/4, 84, 42)
(118, 84, 42)
(120, 60, 28)
(122, 66, 31)
(124, 71, 34)
(125, 75, 36)
(126, 78, 38)
(127, 81, 40)
(128, 84, 42)
(129, 83, 41)
(132, 83, 41)
(265/2, 79, 39)
(134, 76, 37)
(269/2, 71, 34)
(135, 67, 32)
(541/4, 69, 33)
(136, 62, 29)
(138, 62, 29)
(141, 71, 34)
(142, 79, 39)
(143, 83, 41)
(144, 90, 45)
(145, 88, 44)
