(8, 74, 36)
(10, 79, 39)
(23/2, 75, 36)
(12, 76, 37)
(14, 81, 40)
(15, 72, 35)
(16, 71, 34)
(17, 74, 36)
(18, 79, 39)
(39/2, 83, 41)
(20, 86, 43)
(21, 84, 42)
(22, 83, 41)
(24, 81, 40)
(26, 81, 40)
(27, 81, 40)
(28, 81, 40)
(30, 83, 41)
(32, 84, 42)
(33, 84, 42)
(34, 83, 41)
(35, 81, 40)
(71/2, 76, 37)
(36, 79, 39)
(38, 78, 38)
(40, 74, 36)
(42, 79, 39)
(87/2, 75, 36)
(44, 76, 37)
(48, 72, 35)
(50, 77, 38)
(103/2, 72, 35)
(52, 74, 36)
(53, 79, 39)
(54, 76, 37)
(56, 81, 40)
(58, 81, 40)
(59, 81, 40)
(60, 81, 40)
(62, 83, 41)
(64, 84, 42)
(65, 81, 40)
(66, 79, 39)
(67, 78, 38)
(68, 79, 39)
(281/4, 83, 41)
(141/2, 79, 39)
(283/4, 76, 37)
(71, 74, 36)
(285/4, 71, 34)
(143/2, 67, 32)
(287/4, 64, 30)
(72, 62, 29)
(74, 62, 29)
(75, 62, 29)
(76, 62, 29)
(80, 70, 33)
(82, 70, 33)
(83, 70, 33)
(84, 71, 34)
(85, 74, 36)
(173/2, 74, 36)
(87, 74, 36)
(175/2, 74, 36)
(88, 74, 36)
(89, 78, 38)
(181/2, 78, 38)
(91, 78, 38)
(183/2, 78, 38)
(92, 78, 38)
(93, 86, 43)
(94, 85, 42)
(95, 83, 41)
(96, 81, 40)
(195/2, 81, 40)
(98, 81, 40)
(99, 79, 39)
(201/2, 78, 38)
(203/2, 79, 39)
(102, 78, 38)
(205/2, 76, 37)
(103, 74, 36)
(207/2, 76, 37)
(104, 78, 38)
(209/2, 69, 33)
(105, 69, 33)
(211/2, 69, 33)
(106, 69, 33)
(107, 67, 32)
(217/2, 66, 31)
(219/2, 67, 32)
(110, 66, 31)
(221/2, 64, 30)
(111, 62, 29)
(223/2, 64, 30)
(112, 66, 31)
(225/2, 68, 32)
(113, 69, 33)
(227/2, 71, 34)
(229/2, 71, 34)
(115, 73, 35)
(231/2, 74, 36)
(233/2, 74, 36)
(117, 76, 37)
(235/2, 78, 38)
(118, 78, 38)
(119, 76, 37)
(239/2, 74, 36)
(120, 73, 35)
(481/4, 74, 36)
(241/2, 76, 37)
(483/4, 79, 39)
(121, 78, 38)
(485/4, 74, 36)
(243/2, 73, 35)
(487/4, 76, 37)
(122, 74, 36)
(489/4, 69, 33)
(245/2, 73, 35)
(491/4, 76, 37)
(123, 74, 36)
(493/4, 69, 33)
(247/2, 70, 33)
(495/4, 73, 35)
(124, 71, 34)
(497/4, 67, 32)
(249/2, 66, 31)
(499/4, 69, 33)
(125, 67, 32)
(501/4, 62, 29)
(251/2, 66, 31)
(503/4, 62, 29)
(126, 64, 30)
(505/4, 66, 31)
(253/2, 67, 32)
(507/4, 68, 32)
(127, 69, 33)
(509/4, 71, 34)
(255/2, 73, 35)
(511/4, 74, 36)
(128, 76, 37)
(513/4, 78, 38)
(257/2, 79, 39)
(515/4, 80, 39)
(129, 81, 40)
(517/4, 84, 42)
(259/2, 83, 41)
(519/4, 81, 40)
(130, 80, 39)
(521/4, 79, 39)
(261/2, 78, 38)
(523/4, 76, 37)
(131, 75, 36)
(525/4, 76, 37)
(263/2, 79, 39)
(527/4, 76, 37)
(132, 73, 35)
(529/4, 74, 36)
(265/2, 78, 38)
(531/4, 74, 36)
(133, 71, 34)
(533/4, 69, 33)
(267/2, 74, 36)
(535/4, 69, 33)
(134, 67, 32)
(805/6, 66, 31)
(403/3, 69, 33)
(269/2, 74, 36)
(404/3, 69, 33)
(809/6, 66, 31)
(135, 62, 29)
(811/6, 66, 31)
(406/3, 69, 33)
(271/2, 74, 36)
(407/3, 78, 38)
(815/6, 74, 36)
(136, 69, 33)
(817/6, 74, 36)
(409/3, 76, 37)
(273/2, 81, 40)
(410/3, 76, 37)
(821/6, 74, 36)
(137, 76, 37)
(549/4, 81, 40)
(275/2, 85, 42)
(551/4, 88, 44)
(138, 93, 47)
(279/2, 73, 35)
(140, 74, 36)
(141, 66, 31)
(283/2, 66, 31)
(142, 69, 33)
(571/4, 67, 32)
(143, 66, 31)
(287/2, 66, 31)
(144, 66, 31)
(579/4, 64, 30)
(145, 62, 29)
(291/2, 59, 27)
(146, 57, 26)
(293/2, 57, 26)
(147, 57, 26)
(295/2, 57, 26)
(148, 57, 26)
(593/4, 62, 29)
(297/2, 66, 31)
(595/4, 69, 33)
(149, 74, 36)
(299/2, 74, 36)
(150, 74, 36)
(303/2, 78, 38)
(152, 78, 38)
(611/4, 76, 37)
(153, 74, 36)
(307/2, 71, 34)
(154, 69, 33)
(309/2, 69, 33)
(155, 69, 33)
(311/2, 69, 33)
(156, 69, 33)
(641/4, 74, 36)
(321/2, 78, 38)
(643/4, 74, 36)
(161, 81, 40)
(645/4, 73, 35)
(323/2, 76, 37)
(647/4, 74, 36)
(162, 73, 35)
(164, 74, 36)
(167, 79, 39)
(671/4, 75, 36)
(168, 76, 37)
(171, 81, 40)
(687/4, 78, 38)
(172, 79, 39)
(175, 84, 42)
(703/4, 80, 39)
(176, 81, 40)
(353/2, 83, 41)
(177, 86, 43)
(355/2, 84, 42)
(178, 83, 41)
(357/2, 81, 40)
(179, 77, 38)
(359/2, 76, 37)
(180, 74, 36)
(361/2, 72, 35)
(181, 71, 34)
(363/2, 69, 33)
(182, 65, 31)
(365/2, 64, 30)
(183, 62, 29)
(367/2, 60, 28)
(184, 59, 27)
(737/4, 62, 29)
(369/2, 67, 32)
(739/4, 62, 29)
(185, 71, 34)
(741/4, 66, 31)
(371/2, 69, 33)
(743/4, 67, 32)
(186, 59, 27)
(745/4, 62, 29)
(373/2, 67, 32)
(747/4, 62, 29)
(187, 71, 34)
(749/4, 66, 31)
(375/2, 69, 33)
(751/4, 67, 32)
(188, 60, 28)
(753/4, 64, 30)
(377/2, 69, 33)
(755/4, 64, 30)
(189, 72, 35)
(757/4, 68, 32)
(379/2, 71, 34)
(759/4, 69, 33)
(190, 67, 32)
(761/4, 66, 31)
(381/2, 69, 33)
(763/4, 66, 31)
(191, 62, 29)
(765/4, 63, 29)
(383/2, 64, 30)
(767/4, 66, 31)
(192, 67, 32)
(769/4, 62, 29)
(385/2, 67, 32)
(771/4, 62, 29)
(193, 71, 34)
(773/4, 66, 31)
(387/2, 69, 33)
(775/4, 67, 32)
(194, 59, 27)
(777/4, 62, 29)
(389/2, 67, 32)
(779/4, 62, 29)
(195, 71, 34)
(781/4, 66, 31)
(391/2, 69, 33)
(783/4, 67, 32)
(196, 66, 31)
(785/4, 69, 33)
(393/2, 72, 35)
(787/4, 69, 33)
(197, 67, 32)
(789/4, 66, 31)
(395/2, 64, 30)
(791/4, 66, 31)
(198, 67, 32)
(793/4, 71, 34)
(397/2, 76, 37)
(795/4, 71, 34)
(199, 67, 32)
(797/4, 66, 31)
(399/2, 67, 32)
(799/4, 66, 31)
(200, 64, 30)
(801/4, 67, 32)
(401/2, 69, 33)
(803/4, 67, 32)
(201, 76, 37)
(805/4, 66, 31)
(403/2, 69, 33)
(807/4, 67, 32)
(202, 64, 30)
(809/4, 67, 32)
(405/2, 69, 33)
(811/4, 67, 32)
(203, 76, 37)
(813/4, 66, 31)
(407/2, 69, 33)
(815/4, 67, 32)
(204, 66, 31)
(817/4, 69, 33)
(409/2, 74, 36)
(819/4, 69, 33)
(205, 66, 31)
(821/4, 62, 29)
(411/2, 60, 28)
(823/4, 62, 29)
(206, 59, 27)
(825/4, 62, 29)
(413/2, 65, 31)
(827/4, 71, 34)
(207, 74, 36)
(829/4, 77, 38)
(415/2, 76, 37)
(831/4, 74, 36)
(208, 72, 35)
(833/4, 69, 33)
(417/2, 64, 30)
(835/4, 62, 29)
(209, 60, 28)
(837/4, 59, 27)
(419/2, 60, 28)
(839/4, 57, 26)
(210, 59, 27)
(841/4, 62, 29)
(421/2, 67, 32)
(843/4, 71, 34)
(211, 72, 35)
(845/4, 68, 32)
(423/2, 71, 34)
(847/4, 69, 33)
(212, 81, 40)
(214, 81, 40)
(215, 81, 40)
(216, 82, 40)
(218, 83, 41)
(219, 84, 42)
(439/2, 85, 42)
(220, 88, 44)
(664/3, 86, 43)
(665/3, 84, 42)
(222, 81, 40)
(667/3, 78, 38)
(668/3, 74, 36)
(223, 75, 36)
(670/3, 76, 37)
(671/3, 72, 35)
(224, 71, 34)
(451/2, 74, 36)
(226, 74, 36)
(227, 72, 35)
(457/2, 71, 34)
(459/2, 72, 35)
(230, 71, 34)
(461/2, 69, 33)
(231, 67, 32)
(463/2, 69, 33)
(232, 71, 34)
(465/2, 62, 29)
(233, 62, 29)
(467/2, 62, 29)
(234, 62, 29)
(235, 60, 28)
(237, 59, 27)
(475/2, 60, 28)
(238, 59, 27)
(477/2, 57, 26)
(239, 55, 25)
(479/2, 57, 26)
(240, 59, 27)
(481/2, 61, 28)
(241, 62, 29)
(483/2, 64, 30)
(485/2, 64, 30)
(243, 66, 31)
(487/2, 67, 32)
(489/2, 67, 32)
(245, 69, 33)
(491/2, 71, 34)
(246, 73, 35)
(493/2, 74, 36)
(247, 76, 37)
(993/4, 74, 36)
(497/2, 81, 40)
(995/4, 84, 42)
(249, 83, 41)
(997/4, 79, 39)
(499/2, 78, 38)
(999/4, 81, 40)
(250, 79, 39)
(1001/4, 74, 36)
(501/2, 75, 36)
(1003/4, 78, 38)
(251, 76, 37)
(1005/4, 72, 35)
(503/2, 71, 34)
(1007/4, 74, 36)
(252, 72, 35)
(1009/4, 67, 32)
(505/2, 71, 34)
(1011/4, 74, 36)
(253, 72, 35)
(1013/4, 67, 32)
(507/2, 71, 34)
(1015/4, 67, 32)
(254, 69, 33)
(1017/4, 71, 34)
(509/2, 72, 35)
(1019/4, 73, 35)
(255, 74, 36)
(1021/4, 76, 37)
(511/2, 78, 38)
(1023/4, 79, 39)
(256, 81, 40)
(1025/4, 83, 41)
(513/2, 84, 42)
(1027/4, 85, 42)
(257, 86, 43)
(1029/4, 89, 45)
(515/2, 88, 44)
(1031/4, 86, 43)
(258, 85, 42)
(1033/4, 84, 42)
(517/2, 83, 41)
(1035/4, 81, 40)
(259, 80, 39)
(1037/4, 81, 40)
(519/2, 84, 42)
(1039/4, 81, 40)
(260, 78, 38)
(1041/4, 79, 39)
(521/2, 83, 41)
(1043/4, 79, 39)
(261, 78, 38)
(1045/4, 74, 36)
(523/2, 72, 35)
(1047/4, 69, 33)
(262, 67, 32)
(1049/4, 62, 29)
(525/2, 59, 27)
(1051/4, 62, 29)
(263, 71, 34)
(527/2, 71, 34)
(264, 74, 36)
(1059/4, 72, 35)
(265, 71, 34)
(531/2, 71, 34)
(266, 71, 34)
(1067/4, 69, 33)
(267, 67, 32)
(535/2, 64, 30)
(268, 62, 29)
(537/2, 62, 29)
(269, 62, 29)
(539/2, 62, 29)
(270, 62, 29)
(1081/4, 67, 32)
(541/2, 71, 34)
(1083/4, 74, 36)
(271, 79, 39)
(543/2, 79, 39)
(272, 79, 39)
(547/2, 74, 36)
(274, 78, 38)
(1099/4, 76, 37)
(275, 74, 36)
(551/2, 73, 35)
(553/2, 76, 37)
(277, 74, 36)
(555/2, 73, 35)
(278, 74, 36)
(557/2, 67, 32)
(279, 72, 35)
(559/2, 66, 31)
(280, 67, 32)
(282, 69, 33)
(284, 69, 33)
(285, 69, 33)
(286, 69, 33)
(575/2, 74, 36)
(288, 74, 36)
(289, 71, 34)
(290, 81, 40)
(292, 81, 40)
(293, 81, 40)
(294, 81, 40)
(591/2, 86, 43)
(296, 86, 43)
(297, 79, 39)
(298, 78, 38)
(599/2, 86, 43)
(300, 86, 43)
(301, 77, 38)
(302, 76, 37)
(607/2, 72, 35)
(304, 75, 37)
(306, 74, 36)
(307, 74, 36)
(308, 86, 43)
(1257/4, 83, 41)
(629/2, 81, 40)
(1259/4, 79, 39)
(315, 76, 37)
(1261/4, 74, 36)
(631/2, 76, 37)
(1263/4, 74, 36)
(316, 79, 39)
(1265/4, 74, 36)
(633/2, 72, 35)
(1267/4, 71, 34)
(317, 74, 36)
(1269/4, 71, 34)
(635/2, 69, 33)
(1271/4, 67, 32)
(318, 62, 29)
(1273/4, 67, 32)
(637/2, 71, 34)
(1275/4, 66, 31)
(319, 69, 33)
(1277/4, 67, 32)
(639/2, 64, 30)
(1279/4, 62, 29)
(320, 64, 30)
(321, 62, 29)
(322, 64, 30)
(323, 62, 29)
(324, 67, 32)
(326, 67, 32)
(327, 67, 32)
(328, 67, 32)
(10000, 59, 27)
(40001/4, 62, 29)
(20001/2, 67, 32)
(40003/4, 62, 29)
(10001, 71, 34)
(40005/4, 66, 31)
(20003/2, 69, 33)
(40007/4, 67, 32)
(10002, 59, 27)
(40009/4, 62, 29)
(20005/2, 67, 32)
(40011/4, 62, 29)
(10003, 71, 34)
(40013/4, 66, 31)
(20007/2, 69, 33)
(40015/4, 67, 32)
(10004, 60, 28)
(40017/4, 64, 30)
(20009/2, 69, 33)
(40019/4, 64, 30)
(10005, 72, 35)
(40021/4, 68, 32)
(20011/2, 71, 34)
(40023/4, 69, 33)
(10006, 67, 32)
(40025/4, 66, 31)
(20013/2, 69, 33)
(40027/4, 66, 31)
(10007, 62, 29)
(40029/4, 63, 29)
(20015/2, 64, 30)
(40031/4, 66, 31)
(10008, 67, 32)
(40033/4, 62, 29)
(20017/2, 67, 32)
(40035/4, 62, 29)
(10009, 71, 34)
(40037/4, 66, 31)
(20019/2, 69, 33)
(40039/4, 67, 32)
(10010, 59, 27)
(40041/4, 62, 29)
(20021/2, 67, 32)
