(0, 60, 28)
(2, 62, 29)
(11/4, 67, 32)
(3, 65, 31)
(4, 64, 30)
(5, 62, 29)
(23/4, 60, 28)
(6, 60, 28)
(7, 65, 31)
(8, 65, 31)
(9, 74, 36)
(21/2, 72, 35)
(11, 70, 34)
(23/2, 69, 33)
(12, 67, 32)
(13, 72, 35)
(29/2, 70, 34)
(15, 69, 33)
(31/2, 72, 35)
(16, 72, 35)
(35/2, 70, 34)
(18, 70, 34)
(37/2, 69, 33)
(19, 67, 32)
(39/2, 65, 31)
(20, 64, 30)
(41/2, 62, 29)
(83/4, 67, 32)
(21, 65, 31)
(22, 64, 30)
(23, 64, 30)
(47/2, 65, 31)
(24, 67, 32)
(51/2, 67, 32)
(26, 69, 33)
(53/2, 74, 36)
(27, 72, 35)
(28, 70, 34)
(29, 67, 32)
(59/2, 69, 33)
(30, 70, 34)
(63/2, 70, 34)
(32, 72, 35)
(65/2, 77, 38)
(33, 75, 37)
(34, 74, 36)
(35, 77, 38)
(71/2, 76, 37)
(36, 76, 37)
(37, 74, 36)
(38, 72, 35)
(77/2, 70, 34)
(39, 69, 33)
(40, 67, 32)
(41, 72, 35)
(124/3, 69, 33)
(125/3, 65, 31)
(42, 76, 37)
(127/3, 74, 36)
(128/3, 62, 29)
(43, 65, 31)
(44, 64, 30)
(179/4, 72, 35)
(45, 72, 35)
(93/2, 70, 34)
(47, 69, 33)
(95/2, 72, 35)
(48, 72, 35)
(99/2, 70, 34)
(50, 69, 33)
(101/2, 65, 31)
(51, 62, 29)
(52, 60, 28)
(53, 67, 32)
(215/4, 69, 33)
(54, 65, 31)
(69, 81, 40)
(70, 82, 41)
(143/2, 81, 40)
(72, 81, 40)
(145/2, 79, 39)
(147/2, 76, 37)
(295/4, 77, 38)
(74, 79, 39)
(149/2, 81, 40)
(299/4, 79, 39)
(75, 79, 39)
(151/2, 77, 38)
(303/4, 76, 37)
(76, 74, 36)
(153/2, 72, 35)
(77, 71, 34)
(155/2, 69, 33)
(78, 78, 38)
(79, 71, 34)
(321/4, 71, 34)
(161/2, 72, 35)
(323/4, 71, 34)
(81, 76, 37)
(82, 69, 33)
(333/4, 69, 33)
(167/2, 71, 34)
(335/4, 69, 33)
(84, 74, 36)
(171/2, 72, 35)
(343/4, 70, 34)
(86, 69, 33)
(345/4, 70, 34)
(173/2, 72, 35)
(175/2, 75, 37)
(88, 74, 36)
(177/2, 72, 35)
(89, 71, 34)
(179/2, 74, 36)
(90, 72, 35)
(91, 77, 38)
(93, 74, 36)
(187/2, 74, 36)
(187/2, 77, 38)
(94, 79, 39)
(189/2, 77, 38)
(95, 77, 38)
(191/2, 76, 37)
(193/2, 72, 35)
(387/4, 74, 36)
(97, 75, 37)
(195/2, 77, 38)
(391/4, 75, 37)
(98, 75, 37)
(197/2, 74, 36)
(199/2, 74, 36)
(201/2, 73, 35)
(403/4, 74, 36)
(101, 76, 37)
(102, 81, 40)
(103, 82, 41)
(209/2, 81, 40)
(105, 81, 40)
(211/2, 80, 39)
(213/2, 81, 40)
(427/4, 83, 41)
(107, 84, 42)
(215/2, 86, 43)
(431/4, 84, 42)
(108, 84, 42)
(217/2, 83, 41)
(219/2, 80, 39)
(439/4, 81, 40)
(110, 83, 41)
(221/2, 84, 42)
(443/4, 83, 41)
(111, 83, 41)
(223/2, 81, 40)
(447/4, 79, 39)
(112, 79, 39)
(225/2, 77, 38)
(451/4, 76, 37)
(113, 76, 37)
(453/4, 74, 36)
(227/2, 74, 36)
(455/4, 72, 35)
(114, 71, 34)
(229/2, 76, 37)
(231/2, 74, 36)
(233/2, 72, 35)
(467/4, 69, 33)
(117, 81, 40)
(118, 71, 34)
(237/2, 69, 33)
