filename,stage,num_patterns,avg_num_occurrences,med_num_occurrences,max_cardinality,mean_cardinality,coverage
5_op44iii_3_revised_to_aligned,revised_to_aligned,1.0,1.0,1.0,1.0,1.0,1.0
5_op44iii_4_corrected_to_revised,corrected_to_revised,1.0,1.0,1.0,1.0,1.0,1.0
5_op44iii_4_omr_to_corrected,omr_to_corrected,2.2753623188405796,1.514034071861762,1.5,2.6538461538461537,1.1486913857567205,2.774537394946693
5_op44iii_4_revised_to_aligned,revised_to_aligned,1.0,1.0,1.0,1.0,1.0,1.0
6_op80_1_revised_to_aligned,revised_to_aligned,1.0,1.0,1.0,1.0,1.0,1.0
6_op80_2_revised_to_aligned,revised_to_aligned,1.0,1.0,1.0,1.0,1.0,1.0
6_op80_3_revised_to_aligned,revised_to_aligned,1.0,1.0,1.0,1.0,1.0,1.0
6_op80_4_revised_to_aligned,revised_to_aligned,1.0,1.0,1.0,1.0,1.0,1.0
FP_op81_1_corrected_to_revised,corrected_to_revised,1.0,1.0,1.0,1.0,1.0,1.000322788896062
FP_op81_1_omr_to_corrected,omr_to_corrected,2.625,1.1904761904761905,1.0,1.0,0.9690245030050856,2.508783478541465
FP_op81_1_revised_to_aligned,revised_to_aligned,1.0,1.0,1.0,1.0,1.0,1.0
FP_op81_2_corrected_to_revised,corrected_to_revised,1.0,1.0,1.0,1.0,1.0,0.9996658870698296
FP_op81_2_omr_to_corrected,omr_to_corrected,1.2857142857142858,1.0191570881226053,1.0,1.8214285714285714,1.1003787878787876,1.293868036282407
FP_op81_2_revised_to_aligned,revised_to_aligned,1.0,1.0,1.0,1.0,1.0,1.0
FP_op81_3_corrected_to_revised,corrected_to_revised,0.9759036144578314,1.0185185185185184,1.0,1.0,0.9859771346909612,0.9930214219184554
FP_op81_3_omr_to_corrected,omr_to_corrected,1.930232558139535,1.5176470588235293,1.0,1.2592592592592593,1.1406759782492804,2.0741927453769557
FP_op81_3_revised_to_aligned,revised_to_aligned,1.0,1.0,1.0,1.0,1.0,1.0
FP_op81_4_corrected_to_revised,corrected_to_revised,1.0,1.0,1.0,1.0,1.0,1.0005316321105793
FP_op81_4_omr_to_corrected,omr_to_corrected,1.65,1.1408199643493762,0.8571428571428571,1.3125,1.0612049347227213,1.5920505138445238
FP_op81_4_revised_to_aligned,revised_to_aligned,1.0,1.0,1.0,1.0,1.0,1.0
